Customer ID,Recency,Frequency,Monetary
12347.0,2,8,5633.32
12348.0,75,5,2019.3999999999999
12349.0,19,5,4404.54
12350.0,310,1,334.40000000000003
12351.0,375,1,300.93
12352.0,36,13,1889.21
12353.0,204,2,406.76
12354.0,232,1,1079.4
12355.0,214,2,947.61
12356.0,23,6,6373.68
12357.0,33,3,18287.66
12358.0,2,5,3887.07
12359.0,8,14,8714.89
12360.0,52,9,4212.89
12361.0,287,4,511.25
12362.0,3,14,5284.58
12363.0,110,2,552.0
12364.0,8,4,1313.1
12365.0,291,3,320.69
12366.0,634,1,500.24
12367.0,4,1,168.9
12368.0,628,1,917.7
12369.0,413,3,1791.15
12370.0,51,7,4320.31
12371.0,45,5,4067.38
12372.0,72,3,1298.04
12373.0,311,3,1127.65
12374.0,25,4,2989.2200000000003
12375.0,3,3,455.42
12376.0,390,2,503.15
12377.0,315,4,3426.32
12378.0,130,2,5416.32
12379.0,82,5,1618.27
12380.0,22,15,7888.0
12381.0,5,6,1803.96
12383.0,185,6,1839.31
12384.0,29,3,566.16
12385.0,379,2,1923.4
12386.0,338,2,660.8000000000001
12387.0,415,1,143.94
12388.0,16,8,3901.11
12389.0,403,3,1433.33
12390.0,80,1,549.84
12391.0,22,7,2747.82
12392.0,591,1,234.75000000000003
12393.0,72,7,2376.75
12394.0,64,2,1272.48
12395.0,16,18,5046.92
12396.0,674,1,931.4300000000001
12397.0,36,2,2409.9
12398.0,46,1,1635.6599999999999
12399.0,119,7,1962.3
12400.0,414,1,205.25
12401.0,303,1,84.3
12402.0,323,7,1244.15
12403.0,50,3,1001.36
12404.0,682,1,63.24
12405.0,149,1,1710.39
12406.0,22,7,6072.21
12407.0,50,5,1708.12
12408.0,33,14,4279.64
12409.0,79,13,23090.47
12410.0,301,4,1001.46
12411.0,410,1,346.9
12412.0,75,8,2581.03
12413.0,67,6,935.5
12414.0,217,8,692.4100000000001
12415.0,24,33,143269.29
12416.0,657,1,202.56
12417.0,3,27,6708.21
12418.0,113,5,2016.95
12419.0,386,2,503.01
12420.0,64,1,600.39
12421.0,16,8,1092.83
12422.0,96,21,4119.35
12423.0,1,11,2612.19
12424.0,163,7,3289.7799999999997
12425.0,78,3,1680.81
12426.0,195,3,1311.41
12427.0,12,5,1011.87
12428.0,26,12,7877.2
12429.0,9,9,7435.51
12430.0,43,1,256.4
12431.0,36,33,10719.41
12432.0,43,5,5059.32
12433.0,1,11,20428.86
12434.0,85,5,1062.48
12435.0,80,6,13925.93
12436.0,100,1,509.01
12437.0,2,47,12394.85
12438.0,14,2,2906.85
12439.0,683,3,1104.48
12440.0,457,3,768.15
12441.0,367,1,347.1
12442.0,3,1,172.06
12443.0,732,1,485.31
12444.0,21,5,5005.46
12445.0,22,3,426.48
12446.0,58,1,1002.3100000000001
12447.0,243,1,476.49
12448.0,44,1,449.45
12449.0,22,6,4835.89
12450.0,156,7,666.95
12451.0,11,10,12546.53
12452.0,17,3,428.57000000000005
12453.0,134,1,707.09
12454.0,53,9,4292.71
12455.0,73,10,5879.95
12456.0,44,4,3153.89
12457.0,58,14,2472.31
12458.0,71,4,1777.49
12459.0,605,1,454.36
12460.0,456,1,326.65
12461.0,94,2,826.88
12462.0,2,4,1124.01
12463.0,46,7,1303.63
12464.0,10,8,1212.05
12465.0,8,3,733.89
12466.0,682,1,56.73
12468.0,143,10,3624.55
12469.0,523,2,3070.54
12470.0,690,1,211.95
12471.0,2,129,37948.61
12472.0,31,37,16956.69
12473.0,29,9,2848.23
12474.0,17,54,11966.45
12475.0,54,2,1149.64
12476.0,1,38,13715.62
12477.0,23,12,20173.64
12478.0,4,1,680.99
12479.0,4,3,477.3
12480.0,28,8,5435.1
12481.0,23,18,12217.03
12482.0,450,32,21893.53
12483.0,17,27,4846.87
12484.0,33,16,6303.85
12485.0,529,1,708.1
12486.0,432,1,1037.28
12487.0,731,2,259.8
12488.0,10,3,1298.66
12489.0,336,1,334.93
12490.0,5,22,9818.64
12491.0,39,1,460.40000000000003
12492.0,63,3,715.21
12493.0,166,3,416.79
12494.0,10,17,1743.52
12495.0,635,2,323.4
12496.0,620,2,54.09
12497.0,82,4,6211.75
12498.0,21,3,403.70000000000005
12499.0,560,1,393.72
12500.0,23,25,5872.3099999999995
12501.0,315,2,2089.68
12502.0,96,5,3723.87
12504.0,18,6,411.0
12505.0,301,3,908.0
12506.0,233,1,73.5
12507.0,134,5,1797.31
12508.0,26,2,398.27
12509.0,284,1,176.5
12510.0,143,16,3689.33
12511.0,415,2,3065.77
12512.0,66,2,138.03
12513.0,85,2,586.79
12514.0,267,2,1597.76
12515.0,353,1,383.7
12516.0,78,4,2648.62
12517.0,28,6,2464.89
12518.0,1,5,2056.89
12519.0,64,3,695.19
12520.0,79,6,2582.51
12521.0,143,1,599.68
12522.0,39,2,192.72
12523.0,2,30,4220.85
12524.0,9,18,11091.36
12525.0,491,8,835.1800000000001
12526.0,1,3,1316.66
12527.0,82,5,735.51
12528.0,9,8,1922.28
12529.0,523,2,311.78000000000003
12530.0,60,12,3689.86
12531.0,15,3,1899.05
12532.0,30,1,349.83000000000004
12533.0,619,6,1149.99
12534.0,131,1,1089.18
12535.0,92,2,716.35
12536.0,8,5,4106.82
12537.0,409,1,732.94
12538.0,29,2,640.45
12539.0,22,8,9498.9
12540.0,20,36,22107.29
12541.0,30,3,981.18
12542.0,484,4,423.38
12543.0,448,1,980.25
12544.0,30,2,355.7
12545.0,75,2,1000.39
12546.0,47,3,1141.5
12547.0,198,3,383.58
12548.0,166,1,95.19999999999999
12549.0,576,6,1575.68
12550.0,79,1,964.83
12551.0,358,1,168.0
12552.0,39,2,437.82
12553.0,8,17,4548.82
12554.0,449,1,468.5
12555.0,682,1,129.23
12556.0,50,2,603.71
12557.0,16,8,18716.14
12558.0,2,2,1.0658141036401503e-14
12559.0,311,3,536.21
12560.0,5,4,2101.39
12561.0,303,1,238.85
12562.0,8,9,4966.92
12563.0,409,1,249.24
12564.0,261,1,456.90000000000003
12565.0,282,2,131.17000000000002
12566.0,73,2,346.7
12567.0,23,17,13393.82
12568.0,645,1,70.0
12569.0,2,35,4064.9900000000002
12570.0,682,1,77.52
12571.0,40,2,519.61
12572.0,9,3,1004.72
12573.0,227,5,717.41
12574.0,316,1,218.45000000000002
12575.0,457,2,622.82
12576.0,36,11,2083.87
12577.0,35,9,1591.35
12578.0,21,7,4572.45
12579.0,73,3,410.72
12580.0,247,2,1052.9
12581.0,40,1,197.71
12582.0,239,4,1980.4
12583.0,3,31,14344.9
12584.0,4,18,1893.95
12585.0,234,4,1982.81
12586.0,17,5,2028.67
12587.0,8,1,144.0
12588.0,39,5,938.98
12589.0,29,11,3094.17
12590.0,190,5,9853.48
12591.0,317,3,1352.15
12592.0,92,8,1152.62
12593.0,109,3,418.1
12594.0,38,17,5044.51
12595.0,505,1,299.02
12596.0,51,2,618.27
12597.0,19,5,3683.13
12598.0,10,15,4414.67
12599.0,29,13,2296.72
12600.0,29,26,4955.79
12601.0,190,7,673.76
12602.0,59,1,153.12
12603.0,22,1,739.1999999999999
12604.0,79,2,254.18
12605.0,365,5,1217.95
12606.0,682,1,21.0
12607.0,58,2,7.105427357601002e-15
12608.0,405,1,415.79
12609.0,78,10,3417.86
12610.0,23,7,2057.99
12611.0,52,1,1193.32
12612.0,58,2,643.59
12613.0,31,13,6591.52
12614.0,278,1,315.6
12615.0,2,11,5564.88
12616.0,85,7,1045.35
12617.0,29,1,355.53000000000003
12618.0,22,1,177.31
12619.0,16,14,3354.95
12620.0,15,3,1339.41
12621.0,2,44,24579.31
12622.0,232,1,180.1
12623.0,276,9,3639.84
12624.0,106,2,641.13
12625.0,212,5,5095.38
12626.0,23,13,6388.35
12627.0,11,7,4478.53
12628.0,4,4,769.61
12629.0,386,2,1558.22
12630.0,10,2,1270.88
12631.0,57,7,3452.27
12632.0,521,4,738.88
12633.0,59,10,5595.21
12634.0,536,2,490.0
12635.0,90,4,2930.41
12636.0,739,1,141.0
12637.0,67,14,8271.66
12638.0,33,2,921.49
12639.0,239,3,1312.3700000000001
12640.0,24,3,1174.58
12641.0,115,1,185.9
12642.0,25,3,1013.26
12643.0,128,14,7880.9
12644.0,130,6,1815.54
12645.0,34,10,3499.1
12646.0,5,2,1346.97
12647.0,22,45,17682.79
12648.0,155,5,1097.0
12649.0,107,10,2238.7
12650.0,3,1,314.44
12651.0,335,5,365.3
12652.0,322,3,1011.58
12653.0,149,3,4160.83
12654.0,11,5,601.98
12655.0,424,1,261.35
12656.0,17,12,6320.78
12657.0,11,5,1152.06
12658.0,19,1,686.05
12659.0,30,1,91.68
12660.0,11,1,245.10000000000002
12661.0,436,1,162.0
12662.0,1,22,6949.17
12663.0,625,3,204.0
12664.0,8,12,6052.04
12665.0,325,5,301.45
12666.0,359,2,1020.98
12667.0,58,1,620.13
12668.0,7,12,11380.710000000001
12669.0,151,4,1607.73
12670.0,10,8,3750.3900000000003
12671.0,606,1,2622.481
12672.0,330,3,410.5
12673.0,5,3,1230.02
12674.0,12,7,1919.31
12675.0,554,4,934.8
12676.0,25,12,2773.09
12677.0,555,3,389.3
12678.0,42,23,33851.13
12679.0,52,9,1058.67
12680.0,1,4,880.81
12681.0,15,56,30551.760000000002
12682.0,4,53,23945.81
12683.0,4,27,12418.6
12684.0,8,7,2283.63
12685.0,28,6,2863.08
12686.0,372,1,178.28
12687.0,481,2,2138.91
12688.0,114,1,4873.81
12689.0,26,2,1247.6100000000001
12690.0,206,1,389.01
12691.0,28,7,1170.4
12692.0,637,1,110.95
12693.0,121,11,1640.42
12694.0,70,4,1839.45
12695.0,7,7,1407.1200000000001
12696.0,435,3,801.15
12697.0,21,5,939.02
12698.0,590,1,339.75
12699.0,418,1,638.11
12700.0,8,6,4867.99
12701.0,80,6,2446.41
12702.0,20,1,219.0
12703.0,64,7,892.1800000000001
12704.0,7,10,2220.84
12705.0,15,22,11554.0
12707.0,292,1,603.42
12708.0,30,30,5118.16
12709.0,3,55,30312.61
12710.0,97,4,1130.57
12711.0,612,2,1339.05
12712.0,23,28,6979.66
12713.0,1,1,848.55
12714.0,9,12,14093.710000000001
12715.0,106,1,353.86
12716.0,4,2,1053.49
12717.0,151,4,1258.91
12718.0,71,1,238.25
12719.0,5,3,608.1
12720.0,3,41,8047.88
12721.0,32,10,3906.68
12722.0,85,6,904.33
12723.0,4,5,725.07
12724.0,5,7,2317.52
12725.0,371,4,2694.56
12726.0,28,11,4014.6
12727.0,11,12,5646.53
12728.0,71,5,1070.17
12729.0,114,1,453.01
12730.0,522,1,829.25
12731.0,24,19,25673.21
12732.0,180,1,236.26000000000002
12733.0,234,6,2326.82
12734.0,353,3,639.65
12735.0,315,2,779.5699999999999
12736.0,333,1,234.0
12737.0,499,2,3710.5
12738.0,372,1,310.7
12739.0,78,4,2726.73
12740.0,64,1,427.6
12741.0,529,2,406.07
12742.0,600,2,1185.02
12743.0,134,2,546.43
12744.0,52,14,13158.16
12745.0,487,3,925.41
12746.0,528,3,230.85
12747.0,2,32,9164.59
12748.0,1,364,49970.13
12749.0,4,16,6328.49
12750.0,129,1,275.88
12751.0,445,1,268.27
12752.0,81,1,4366.78
12753.0,4,11,21024.01
12754.0,236,5,2949.12
12755.0,250,22,6406.35
12756.0,87,1,112.08
12757.0,16,19,4227.7
